epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3822,1.8789,3.55301,1.79313,0.94188,0.14777,0.2505,0.11744,1.88129,3.29591,1.85614,0.000219202,0.000219202,0.000219202
2,64.4386,1.86872,2.20043,1.74241,0.74622,0.3273,0.34416,0.15662,2.06096,1.95028,2.03611,0.000437164,0.000437164,0.000437164
3,95.2787,1.86294,1.79983,1.73097,0.60212,0.37864,0.3918,0.16793,2.02321,1.79653,2.00218,0.000650724,0.000650724,0.000650724
4,126.836,1.79791,1.65363,1.68808,0.5958,0.42495,0.43004,0.19715,1.96021,1.54753,1.9392,0.00064719,0.00064719,0.00064719
5,158.819,1.80011,1.60612,1.68689,0.71579,0.40303,0.42375,0.19888,1.96915,1.62458,1.95474,0.000640587,0.000640587,0.000640587
6,192.329,1.74453,1.56721,1.65442,0.81087,0.36666,0.43259,0.20116,1.95481,1.60938,1.94054,0.000633983,0.000633983,0.000633983
7,224.922,1.71476,1.51389,1.63594,0.7085,0.45059,0.47407,0.2183,1.90395,1.48976,1.91074,0.00062738,0.00062738,0.00062738
8,257.899,1.72014,1.47949,1.63151,0.72621,0.46028,0.4851,0.22679,1.89017,1.3924,1.89963,0.000620777,0.000620777,0.000620777
9,291.469,1.68953,1.40644,1.60681,0.72967,0.48181,0.49567,0.23933,1.86802,1.37611,1.89298,0.000614174,0.000614174,0.000614174
10,327.478,1.67147,1.37892,1.59257,0.81321,0.35358,0.43049,0.19886,2.02741,1.46102,1.95531,0.00060757,0.00060757,0.00060757
11,361.077,1.68169,1.37583,1.59947,0.68055,0.48737,0.49798,0.24306,1.86149,1.34136,1.88662,0.000600967,0.000600967,0.000600967
12,393.03,1.71709,1.37868,1.61024,0.55008,0.48789,0.48795,0.22281,1.89663,1.3797,1.87162,0.000594364,0.000594364,0.000594364
13,424.764,1.64639,1.31908,1.57091,0.82791,0.43986,0.49728,0.24446,1.81573,1.31008,1.81638,0.00058776,0.00058776,0.00058776
14,456.18,1.6555,1.31878,1.5702,0.81742,0.42185,0.50429,0.24024,1.88469,1.38256,1.89757,0.000581157,0.000581157,0.000581157
15,487.605,1.63614,1.28518,1.56774,0.73979,0.43952,0.49914,0.23229,1.90384,1.34968,1.90432,0.000574554,0.000574554,0.000574554
16,519.038,1.61814,1.27149,1.57183,0.57767,0.47115,0.50535,0.23915,1.84508,1.29534,1.84595,0.00056795,0.00056795,0.00056795
17,550.36,1.61944,1.25983,1.55416,0.73322,0.48945,0.51209,0.25199,1.83459,1.26397,1.84046,0.000561347,0.000561347,0.000561347
18,586.47,1.60476,1.25447,1.56067,0.58717,0.49704,0.51321,0.24153,1.87525,1.31037,1.87577,0.000554744,0.000554744,0.000554744
